cantidad_nodos,cantidad_aristas,t_con_fib,t_con_heap
10,16,0.00547808,1.9e-08
10,16,0.00484552,1.8e-08
10,16,0.00506863,2.4e-08
10,16,0.00487641,2e-08
10,16,0.0049854,1.9e-08
10,16,0.00481412,2.1e-08
10,16,0.00484664,3.3e-08
10,16,0.00480202,1.6e-08
10,16,0.00479932,2.1e-08
10,16,0.00526429,2e-08
10,16,0.00471007,2e-08
10,16,0.0049713,2.7e-08
10,16,0.00495738,2e-08
10,16,0.00483217,2.1e-08
10,16,0.00481796,2.4e-08
10,16,0.00474003,2.1e-08
10,16,0.00507459,1.9e-08
10,16,0.00567765,2.5e-08
10,16,0.00593198,2e-08
10,16,0.00472227,3e-08
10,16,0.00529995,2e-08
10,16,0.00485815,2e-08
10,16,0.00492265,2.2e-08
10,16,0.00475834,3.2e-08
10,16,0.00500472,2.9e-08
10,16,0.00563616,2.6e-08
10,16,0.00474549,2.1e-08
10,16,0.00535449,1.9e-08
10,16,0.00504512,2e-08
10,16,0.00492601,2.2e-08
10,16,0.00481433,2.8e-08
10,16,0.00483549,2.9e-08
10,16,0.00502686,2.6e-08
10,16,0.00475173,2.7e-08
10,16,0.00485017,2e-08
10,16,0.00470424,2.7e-08
10,16,0.00544142,2.4e-08
10,16,0.00486321,2e-08
10,16,0.00538192,2e-08
10,16,0.00477053,2.8e-08
10,16,0.00490561,2.1e-08
10,16,0.00483746,2.7e-08
10,16,0.00474552,1.9e-08
10,16,0.00463162,3.1e-08
10,16,0.00484632,2e-08
10,16,0.0059645,2.6e-08
10,16,0.00482081,2.3e-08
10,16,0.00603006,3.7e-08
10,16,0.0047831,1.9e-08
10,16,0.00478358,3.1e-08
10,17,0.00875331,2.8e-08
10,17,0.0088645,3.2e-08
10,17,0.00861158,1.8e-08
10,17,0.00965626,3.9e-08
10,17,0.00897172,1.8e-08
10,17,0.00898935,1.9e-08
10,17,0.00870602,2.2e-08
10,17,0.00902178,2e-08
10,17,0.00909125,2.7e-08
10,17,0.00890384,3.9e-08
10,17,0.00932131,2.7e-08
10,17,0.00931126,2.1e-08
10,17,0.0113108,2e-08
10,17,0.00988811,2e-08
10,17,0.00882242,2.6e-08
10,17,0.00991061,2.8e-08
10,17,0.0093343,3.6e-08
10,17,0.00873867,2.8e-08
10,17,0.00870073,1.9e-08
10,17,0.00873881,2.1e-08
10,17,0.00882665,2e-08
10,17,0.00869879,2.2e-08
10,17,0.00865059,2.6e-08
10,17,0.00926128,3.4e-08
10,17,0.0113886,2e-08
10,17,0.00994336,3.2e-08
10,17,0.00915746,3.6e-08
10,17,0.00871353,2.9e-08
10,17,0.0103134,2.7e-08
10,17,0.00955034,2.6e-08
10,17,0.0110249,2.7e-08
10,17,0.00909675,2.6e-08
10,17,0.00881364,2e-08
10,17,0.00911094,2.1e-08
10,17,0.00914363,2.1e-08
10,17,0.00893458,2.7e-08
10,17,0.00864751,2e-08
10,17,0.00880862,1.9e-08
10,17,0.0087128,2.2e-08
10,17,0.00858286,2.1e-08
10,17,0.00875117,1.9e-08
10,17,0.00905863,4.8e-08
10,17,0.00918536,3.2e-08
10,17,0.00934073,1.9e-08
10,17,0.0108728,2.1e-08
10,17,0.010639,2.8e-08
10,17,0.00909455,2e-08
10,17,0.0089198,2.1e-08
10,17,0.00877114,2.9e-08
10,17,0.00858338,2.8e-08
10,18,0.0164921,2.7e-08
10,18,0.0164682,2.6e-08
10,18,0.0166998,2.7e-08
10,18,0.0166292,2.1e-08
10,18,0.0169954,2.7e-08
10,18,0.0164896,2.2e-08
10,18,0.0163382,2e-08
10,18,0.0186713,2.3e-08
10,18,0.0167608,2e-08
10,18,0.017483,2.6e-08
10,18,0.0183329,2.5e-08
10,18,0.0183046,1.8e-08
10,18,0.0231867,2.6e-08
10,18,0.0168918,2e-08
10,18,0.0176941,1.9e-08
10,18,0.0170787,3.1e-08
10,18,0.016742,2.7e-08
10,18,0.0187738,3.2e-08
10,18,0.0166932,2.8e-08
10,18,0.0167739,2.8e-08
10,18,0.0162999,2.2e-08
10,18,0.0166354,2.7e-08
10,18,0.0165865,2.6e-08
10,18,0.0173657,3e-08
10,18,0.0187656,2.1e-08
10,18,0.017698,2.4e-08
10,18,0.0175894,3.9e-08
10,18,0.0176675,2e-08
10,18,0.0201248,2e-08
10,18,0.0169725,2.8e-08
10,18,0.0166922,3.4e-08
10,18,0.0176583,2.2e-08
10,18,0.016869,2e-08
10,18,0.0166856,2e-08
10,18,0.0174628,2e-08
10,18,0.0173021,4.7e-08
10,18,0.0179197,2.8e-08
10,18,0.0176569,2.2e-08
10,18,0.0170857,2e-08
10,18,0.0171757,3.3e-08
10,18,0.0184783,3.3e-08
10,18,0.0169803,2.8e-08
10,18,0.0170442,1.9e-08
10,18,0.0165341,2e-08
10,18,0.0168848,2.9e-08
10,18,0.0167315,2e-08
10,18,0.0178929,3.3e-08
10,18,0.0169561,2.2e-08
10,18,0.0167615,2.1e-08
10,18,0.018522,1.9e-08
10,19,0.0335688,2.8e-08
10,19,0.0327949,2.1e-08
10,19,0.0333167,2.8e-08
10,19,0.0335074,2.7e-08
